company,ticker,q,date,capex_eok
코스메카코리아,A241710,2022Q3,2022-09-30,19.8
코스메카코리아,A241710,2022Q4,2022-12-31,61.8
코스메카코리아,A241710,2023Q1,2023-03-31,19.8
코스메카코리아,A241710,2023Q2,2023-06-30,38.2
코스메카코리아,A241710,2023Q3,2023-09-30,38.9
코스메카코리아,A241710,2023Q4,2023-12-31,88.8
코스메카코리아,A241710,2024Q1,2024-03-31,81.7
코스메카코리아,A241710,2024Q2,2024-06-30,138.5
코스메카코리아,A241710,2024Q3,2024-09-30,89.5
코스메카코리아,A241710,2024Q4,2024-12-31,177.0
코스메카코리아,A241710,2025Q1,2025-03-31,139.3
코스메카코리아,A241710,2025Q2,2025-06-30,183.4
코스메카코리아,A241710,2025Q3,2025-09-30,179.6
코스메카코리아,A241710,2025Q4,2025-12-31,111.5
코스메카코리아,A241710,2026Q1,2026-03-31,109.2
코스메카코리아,A241710,2026Q2,2026-06-30,95.2
티앤엘,A340570,2021Q1,2021-03-31,42.9
티앤엘,A340570,2021Q2,2021-06-30,69.9
티앤엘,A340570,2021Q3,2021-09-30,38.9
티앤엘,A340570,2021Q4,2021-12-31,4.5
티앤엘,A340570,2022Q1,2022-03-31,32.2
티앤엘,A340570,2022Q2,2022-06-30,6.1
티앤엘,A340570,2022Q3,2022-09-30,72.5
티앤엘,A340570,2022Q4,2022-12-31,49.2
티앤엘,A340570,2023Q1,2023-03-31,45.2
티앤엘,A340570,2023Q2,2023-06-30,45.1
티앤엘,A340570,2023Q3,2023-09-30,25.0
티앤엘,A340570,2023Q4,2023-12-31,19.1
티앤엘,A340570,2024Q1,2024-03-31,18.0
티앤엘,A340570,2024Q2,2024-06-30,34.3
티앤엘,A340570,2024Q3,2024-09-30,58.8
티앤엘,A340570,2024Q4,2024-12-31,47.1
티앤엘,A340570,2025Q1,2025-03-31,22.3
티앤엘,A340570,2025Q2,2025-06-30,77.0
티앤엘,A340570,2025Q3,2025-09-30,37.0
티앤엘,A340570,2025Q4,2025-12-31,39.6
티앤엘,A340570,2026Q1,2026-03-31,24.7
티앤엘,A340570,2026Q2,2026-06-30,47.8
한국콜마,A161890,2021Q1,2021-03-31,196.2
한국콜마,A161890,2021Q2,2021-06-30,82.7
한국콜마,A161890,2021Q3,2021-09-30,70.0
한국콜마,A161890,2021Q4,2021-12-31,52.4
한국콜마,A161890,2022Q1,2022-03-31,52.1
한국콜마,A161890,2022Q2,2022-06-30,147.9
한국콜마,A161890,2022Q3,2022-09-30,93.2
한국콜마,A161890,2022Q4,2022-12-31,84.7
한국콜마,A161890,2023Q1,2023-03-31,169.6
한국콜마,A161890,2023Q2,2023-06-30,462.9
한국콜마,A161890,2023Q3,2023-09-30,137.7
한국콜마,A161890,2023Q4,2023-12-31,298.1
한국콜마,A161890,2024Q1,2024-03-31,392.0
한국콜마,A161890,2024Q2,2024-06-30,662.3
한국콜마,A161890,2024Q3,2024-09-30,531.5
한국콜마,A161890,2024Q4,2024-12-31,885.9
한국콜마,A161890,2025Q1,2025-03-31,534.1
한국콜마,A161890,2025Q2,2025-06-30,445.4
한국콜마,A161890,2025Q3,2025-09-30,262.5
한국콜마,A161890,2025Q4,2025-12-31,397.5
한국콜마,A161890,2026Q1,2026-03-31,208.5
한국콜마,A161890,2026Q2,2026-06-30,152.0
한국화장품제조,A003350,2021Q1,2021-03-31,4.9
한국화장품제조,A003350,2021Q2,2021-06-30,-2.6
한국화장품제조,A003350,2021Q3,2021-09-30,0.4
한국화장품제조,A003350,2021Q4,2021-12-31,1.3
한국화장품제조,A003350,2022Q1,2022-03-31,2.1
한국화장품제조,A003350,2022Q2,2022-06-30,1.9
한국화장품제조,A003350,2022Q3,2022-09-30,1.6
한국화장품제조,A003350,2022Q4,2022-12-31,2.5
한국화장품제조,A003350,2023Q1,2023-03-31,0.4
한국화장품제조,A003350,2023Q2,2023-06-30,0.7
한국화장품제조,A003350,2023Q3,2023-09-30,0.6
한국화장품제조,A003350,2023Q4,2023-12-31,0.5
한국화장품제조,A003350,2024Q1,2024-03-31,5.6
한국화장품제조,A003350,2024Q2,2024-06-30,6.2
한국화장품제조,A003350,2024Q3,2024-09-30,4.8
한국화장품제조,A003350,2024Q4,2024-12-31,4.3
한국화장품제조,A003350,2025Q1,2025-03-31,2.3
한국화장품제조,A003350,2025Q2,2025-06-30,5.3
한국화장품제조,A003350,2025Q3,2025-09-30,6.6
한국화장품제조,A003350,2025Q4,2025-12-31,8.3
한국화장품제조,A003350,2026Q1,2026-03-31,3.4
한국화장품제조,A003350,2026Q2,2026-06-30,71.7
