co,ticker,q,date,rev_eok,ebit_eok
한국콜마,A161890,2021Q2,2021-06-30,4127.7,213.2
한국콜마,A161890,2021Q3,2021-09-30,3759.7,127.8
한국콜마,A161890,2021Q4,2021-12-31,4022.9,259.2
한국콜마,A161890,2022Q1,2022-03-31,4104.4,129.1
한국콜마,A161890,2022Q2,2022-06-30,5027.0,336.4
한국콜마,A161890,2022Q3,2022-09-30,4735.2,180.9
한국콜마,A161890,2022Q4,2022-12-31,4790.7,86.4
한국콜마,A161890,2023Q1,2023-03-31,4876.6,120.6
한국콜마,A161890,2023Q2,2023-06-30,5997.4,556.7
한국콜마,A161890,2023Q3,2023-09-30,5163.8,310.3
한국콜마,A161890,2023Q4,2023-12-31,5518.9,373.8
한국콜마,A161890,2024Q1,2024-03-31,5747.9,324.3
한국콜마,A161890,2024Q2,2024-06-30,6602.7,717.4
한국콜마,A161890,2024Q3,2024-09-30,6265.1,545.4
한국콜마,A161890,2024Q4,2024-12-31,5905.0,351.4
한국콜마,A161890,2025Q1,2025-03-31,6530.9,599.4
한국콜마,A161890,2025Q2,2025-06-30,7308.5,734.8
한국콜마,A161890,2025Q3,2025-09-30,6830.1,583.3
한국콜마,A161890,2025Q4,2025-12-31,6554.7,478.5
한국콜마,A161890,2026Q1,2026-03-31,7280.4,788.9
한국콜마,A161890,2026Q2,2026-06-30,8612.8,1103.4
