date,price
2025-12-05,37750
2025-12-08,38250
2025-12-09,38100
2025-12-10,38400
2025-12-11,37500
2025-12-12,39300
2025-12-15,45350
2025-12-16,41550
2025-12-17,41000
2025-12-18,40400
2025-12-19,40750
2025-12-22,41500
2025-12-23,42700
2025-12-24,40150
2025-12-26,39000
2025-12-29,40150
2025-12-30,41350
2026-01-02,41450
2026-01-05,41200
2026-01-06,39750
2026-01-07,38500
2026-01-08,38850
2026-01-09,38900
2026-01-12,39650
2026-01-13,39650
2026-01-14,39000
2026-01-15,37950
2026-01-16,37900
2026-01-19,37350
2026-01-20,37450
2026-01-21,35100
2026-01-22,37450
2026-01-23,37450
2026-01-26,38450
2026-01-27,37900
2026-01-28,38650
2026-01-29,38800
2026-01-30,37150
2026-02-02,36100
2026-02-03,38300
2026-02-04,38850
2026-02-05,37850
2026-02-06,35950
2026-02-09,37950
2026-02-10,40200
2026-02-11,45300
2026-02-12,40600
2026-02-13,37750
2026-02-19,37600
2026-02-20,37350
2026-02-23,37150
2026-02-24,36650
2026-02-25,36450
2026-02-26,35800
2026-02-27,35150
2026-03-03,32450
2026-03-04,28950
2026-03-05,31500
2026-03-06,33700
2026-03-09,32300
2026-03-10,33950
2026-03-11,34550
2026-03-12,35150
2026-03-13,34750
2026-03-16,33950
2026-03-17,34350
2026-03-18,35200
2026-03-19,34450
2026-03-20,35900
2026-03-23,32950
2026-03-24,33950
2026-03-25,35050
2026-03-26,33700
2026-03-27,33950
2026-03-30,32850
2026-03-31,31750
2026-04-01,33900
2026-04-02,32050
2026-04-03,33000
2026-04-06,31550
2026-04-07,30300
2026-04-08,32700
2026-04-09,33200
2026-04-10,34250
2026-04-13,33300
2026-04-14,36600
2026-04-15,35700
2026-04-16,37850
2026-04-17,38300
2026-04-20,37600
2026-04-21,37500
2026-04-22,37700
2026-04-23,37400
2026-04-24,39450
2026-04-27,40750
2026-04-28,43000
2026-04-29,46350
2026-04-30,42900
2026-05-04,39500
2026-05-06,37050
2026-05-07,35950
2026-05-08,35950
2026-05-11,35200
2026-05-12,36350
2026-05-13,38300
2026-05-14,39500
2026-05-15,38900
2026-05-18,28650
2026-05-19,26600
2026-05-20,25100
2026-05-21,24350
2026-05-22,25700
2026-05-26,27800
2026-05-27,25900
2026-05-28,25350
2026-05-29,24150
2026-06-01,23000
2026-06-02,22700
2026-06-04,24100
2026-06-05,25100
2026-06-08,23400
2026-06-09,25100
2026-06-10,24300
2026-06-11,26000
2026-06-12,25800
2026-06-15,25200
2026-06-16,27700
2026-06-17,30200
2026-06-18,28350
2026-06-19,26050
2026-06-22,25400
2026-06-23,23850
2026-06-24,22600
2026-06-25,21000
2026-06-26,20500
2026-06-29,23100
2026-06-30,24450
2026-07-01,25650
2026-07-02,25100
2026-07-03,24800
2026-07-06,24600
2026-07-07,24600
2026-07-08,24600
2026-07-09,26200
2026-07-10,27900
2026-07-13,27650
2026-07-14,26600
2026-07-15,27800
2026-07-16,27600
2026-07-20,26700
2026-07-21,28650
2026-07-22,29650
2026-07-23,32300
2026-07-24,32200
2026-07-27,27750
2026-07-28,26100
2026-07-29,24750
2026-07-30,24500
2026-07-31,27200
2026-08-01,27200
2026-08-02,27200
2026-08-03,26550
2026-08-04,28200
2026-08-05,27250
2026-08-06,26950
2026-08-07,28250
2026-08-08,28250
2026-08-09,28250
2026-08-10,26150
2026-08-11,26650
2026-08-12,25450
2026-08-13,23850
